"score","text","name"
0,"RT @Dattaamit11Amit: Whose movie is most awaited?
@aamir_khan #Dangal 
@BeingSalmanKhan #Tubelight 
@yrf #BefikreOn9th 
#Padmavati @deepika…","AamirKhan"
3,"Youre such an ideal person @aamir_khan. No wonder they call u the Perfectionist. Your qualities r what I want to have, &amp; I will work for it.","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @Aamir_KhanFC: @aamir_khan's Productions Next #SecretSuperstar to release on 4th August, 2017! https://t.co/5RYUQjid4K","AamirKhan"
0,"@aamir_khan would never have used makeup for the role but waited for 30 years and after filming would have turned young again @chintskap <ed><U+00A0><U+00BD><ed><U+00B8><U+009C>","AamirKhan"
0,"RT @PlanetBwood: #SecretSuperstar, written-directed by Advait Chandan which features superstar @aamir_khan in cameo role will release on Au…","AamirKhan"
0,"RT @ZeeMusicCompany: Whisk off your Monday blues with #Gilehriyaan 
@fattysanashaikh @aamir_khan @jonitamusic @ipritamofficial #Dangal 
htt…","AamirKhan"
0,"RT @iFaridoon: News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait.","AamirKhan"
1,"RT @VanHeusenInd: The man of the moment @aamir_khan with his beautiful co-stars! #VHGQFashionNights #FashionNights https://t.co/Y7ZeF1JmSK","AamirKhan"
0,"RT @boxofficeindia: .@ZeeStudios_ to present Aamir Khan Productions' film #SecretSuperstar dir by #AdvaitChandan with @aamir_khan as cameo.…","AamirKhan"
1,"RT @aamir_khan: Hey guys, you need to see this! Love. a. https://t.co/tHzUU1EbJH","AamirKhan"
0,"RT @Koimoi: Revealed: Release Date Of @aamir_khan’s #SecretSuperstar  https://t.co/FoNTBVnhDS","AamirKhan"
0,"RT @iFaridoon: News: #SecretSuperstar starring @aamir_khan in a special cameo. Will release on August 4, 2017.Directed by Advait.","AamirKhan"
0,"RT @MovieTalkies: #AamirKhan Starrer #SecretSuperstar To Release On This Date...https://t.co/T8sKi6IQ3E

#Bollywood #Dangal @aamir_khan","AamirKhan"
0,"RT @umapathysridhar: #AamirKhan #SecretSuperstar which is written &amp; directed by #AdvaitChandan with @aamir_khan in a cameo is all set to re…","AamirKhan"
0,"RT @ieEntertainment: .@aamir_khan will next do a cameo in #SecretSuperstar
https://t.co/57QR5NHjic https://t.co/Tsni55EExs","AamirKhan"
0,"RT @ZeeMusicCompany: Whisk off your Monday blues with #Gilehriyaan 
@fattysanashaikh @aamir_khan @jonitamusic @ipritamofficial #Dangal 
htt…","AamirKhan"
1,"@aamir_khan @YouTube awesome sir","AamirKhan"
0,"RT @ieEntertainment: .@aamir_khan will next do a cameo in #SecretSuperstar
https://t.co/57QR5NHjic https://t.co/Tsni55EExs","AamirKhan"
